,year,rank,name,citizenship,age,net_worth,residence,source,category,continents
29,2010.0,28.0,Azim Premji,India,64.0,17.0,India,,,Asia
30,2010.0,31.0,Theo Albrecht,Germany,88.0,16.7,Germany,,,Europe
31,2010.0,32.0,Vladimir Lisin,Russia,53.0,15.8,Russia,,,Asia
32,2010.0,33.0,Steven Ballmer,United States,54.0,14.5,United States,,,North America
33,2010.0,33.0,Robert Kuok,Malaysia,86.0,14.5,Hong Kong,,,Asia
34,2010.0,35.0,George Soros,United States,79.0,14.0,United States,,,North America
35,2010.0,36.0,Anil Ambani,India,50.0,13.7,India,,,Asia
36,2010.0,37.0,Paul Allen,United States,57.0,13.5,United States,,,North America
37,2010.0,37.0,Michael Dell,United States,45.0,13.5,United States,,,North America
38,2010.0,39.0,Mikhail Prokhorov,Russia,44.0,13.4,Russia,,,Asia
39,2010.0,40.0,Birgit Rausing & family,Sweden,86.0,13.0,Switzerland,,,Europe
40,2010.0,40.0,Shashi & Ravi Ruia,India,66.0,13.0,India,,,Asia
41,2010.0,42.0,Mikhail Fridman,Russia,45.0,12.7,Russia,,,Asia
42,2010.0,43.0,Jeffrey Bezos,United States,46.0,12.3,United States,,,North America
43,2010.0,44.0,Savitri Jindal,India,60.0,12.2,India,,,Asia
44,2010.0,45.0,Donald Bren,United States,77.0,12.0,United States,,,North America
45,2010.0,45.0,Gerald Cavendish Grosvenor & family,United Kingdom,58.0,12.0,United Kingdom,,,Europe
46,2010.0,45.0,John Paulson,United States,54.0,12.0,United States,,,North America
47,2010.0,48.0,Abigail Johnson,United States,48.0,11.5,United States,,,North America
48,2010.0,48.0,Jorge Paulo Lemann,Brazil,70.0,11.5,Brazil,,,South America
49,2010.0,50.0,Roman Abramovich,Russia,43.0,11.2,Russia,,,Asia
50,2010.0,51.0,Susanne Klatten,Germany,47.0,11.1,Germany,,,Europe
51,2010.0,52.0,Iris Fontbona & family,Chile,,11.0,Chile,,,South America
52,2010.0,52.0,Forrest Mars Jr,United States,78.0,11.0,United States,,,North America
53,2010.0,52.0,Jacqueline Mars,United States,70.0,11.0,United States,,,North America
54,2010.0,52.0,John Mars,United States,73.0,11.0,United States,,,North America
55,2010.0,52.0,Ronald Perelman,United States,67.0,11.0,United States,,,North America
56,2010.0,57.0,Oleg Deripaska,Russia,42.0,10.7,Russia,,,Asia
57,2010.0,58.0,Vagit Alekperov,Russia,59.0,10.6,Russia,,,Asia
58,2010.0,59.0,Leonardo Del Vecchio,Italy,74.0,10.5,Italy,,,Europe
59,2010.0,59.0,Carl Icahn,United States,74.0,10.5,United States,,,North America
60,2010.0,61.0,Vladimir Potanin,Russia,49.0,10.3,Russia,,,Asia
61,2010.0,62.0,Philip Knight,United States,72.0,10.2,United States,,,North America
62,2010.0,63.0,Ricardo Salinas Pliego & family,Mexico,54.0,10.1,Mexico,,,North America
63,2010.0,64.0,Mohammed Al Amoudi,Saudi Arabia,65.0,10.0,Saudi Arabia,,,Asia
64,2010.0,64.0,Ernesto Bertarelli & family,Switzerland,44.0,10.0,Switzerland,,,Europe
65,2010.0,64.0,Anne Cox Chambers,United States,90.0,10.0,United States,,,North America
66,2010.0,64.0,George Kaiser,United States,67.0,10.0,United States,,,North America
67,2010.0,64.0,Hans Rausing,Sweden,84.0,10.0,United Kingdom,,,Europe
68,2010.0,64.0,Joseph Safra,Brazil,71.0,10.0,Brazil,,,South America
69,2010.0,70.0,Alexei Mordashov,Russia,44.0,9.9,Russia,,,Asia
70,2010.0,71.0,Viktor Rashnikov,Russia,61.0,9.8,Russia,,,Asia
71,2010.0,72.0,German Larrea Mota Velasco & family,Mexico,56.0,9.7,Mexico,,,North America
72,2010.0,73.0,Sheldon Adelson,United States,76.0,9.3,United States,,,North America
73,2010.0,74.0,Silvio Berlusconi & family,Italy,73.0,9.0,Italy,,,Europe
74,2010.0,74.0,Dan Duncan,United States,77.0,9.0,United States,,,North America
75,2010.0,74.0,Kushal Pal Singh,India,78.0,9.0,India,,,Asia
76,2010.0,77.0,Nasser Al-Kharafi & family,Kuwait,66.0,8.7,Kuwait,,,Asia
77,2010.0,77.0,Francois Pinault & family,France,73.0,8.7,France,,,Europe
78,2010.0,79.0,Dmitry Rybolovlev,Russia,43.0,8.6,Russia,,,Asia
79,2010.0,80.0,Iskander Makhmudov,Russia,46.0,8.5,Russia,,,Asia
80,2010.0,80.0,James Simons,United States,71.0,8.5,United States,,,North America
81,2010.0,82.0,Alberto Bailleres & family,Mexico,77.0,8.3,Mexico,,,North America
82,2010.0,83.0,German Khan,Russia,48.0,8.2,Russia,,,Asia
83,2010.0,84.0,"Eliodoro, Bernardo & Patricia Matte",Chile,,8.1,Chile,,,South America
84,2010.0,85.0,Edward Johnson III,United States,79.0,8.0,United States,,,North America
85,2010.0,86.0,Kumar Birla,India,42.0,7.9,India,,,Asia
86,2010.0,87.0,Sunil Mittal,India,52.0,7.8,India,,,Asia
87,2010.0,88.0,John Fredriksen,Cyprus,65.0,7.7,United Kingdom,,,Europe
88,2010.0,89.0,Serge Dassault & family,France,84.0,7.6,France,,,Europe
89,2010.0,89.0,Petr Kellner,Czech Republic,45.0,7.6,Czech Republic,,,Europe
90,2010.0,89.0,Ananda Krishnan,Malaysia,71.0,7.6,Malaysia,,,Asia
91,2010.0,89.0,Tadashi Yanai & family,Japan,61.0,7.6,Japan,,,Asia
92,2010.0,93.0,Mohamed Bin Issa Al Jaber,Saudi Arabia,51.0,7.5,Saudi Arabia,,,Asia
93,2010.0,93.0,Len Blavatnik,United States,52.0,7.5,United Kingdom,,,North America
94,2010.0,93.0,David & Simon Reuben,United Kingdom,67.0,7.5,United Kingdom,,,Europe
95,2010.0,93.0,Nobutada Saji & family,Japan,64.0,7.5,Japan,,,Asia
96,2010.0,93.0,Alain & Gerard Wertheimer,France,,7.5,NA,,,Europe
97,2010.0,93.0,Vladimir Yevtushenkov,Russia,61.0,7.5,Russia,,,Asia
98,2010.0,99.0,August von Finck,Germany,80.0,7.3,Switzerland,,,Europe
99,2010.0,100.0,Lee Kun-Hee,South Korea,68.0,7.2,South Korea,,,Asia
100,2010.0,100.0,Alisher Usmanov,Russia,56.0,7.2,Russia,,,Asia
101,2010.0,100.0,Galen Weston & family,Canada,69.0,7.2,Canada,,,North America
102,2010.0,103.0,Charlene de Carvalho-Heineken,Netherlands,55.0,7.0,United Kingdom,,,Europe
103,2010.0,103.0,Zong Qinghou,China,64.0,7.0,China,,,Asia
104,2010.0,105.0,James Goodnight,United States,67.0,6.9,United States,,,North America
105,2010.0,106.0,Cheng Yu-tung,Hong Kong,84.0,6.8,Hong Kong,,,Asia
106,2010.0,107.0,Philip & Cristina Green,United Kingdom,58.0,6.7,United Kingdom,,,Europe
107,2010.0,108.0,Klaus-Michael Kuhne,Germany,72.0,6.6,Switzerland,,,Europe
108,2010.0,109.0,Sulaiman Al Rajhi,Saudi Arabia,90.0,6.5,Saudi Arabia,,,Asia
109,2010.0,109.0,John Kluge,United States,95.0,6.5,United States,,,North America
110,2010.0,109.0,Alexei Kuzmichev,Russia,47.0,6.5,Russia,,,Asia
111,2010.0,109.0,Sammy Ofer & family,Israel,88.0,6.5,Monaco,,,Asia
112,2010.0,113.0,Anil Agarwal,India,56.0,6.4,United Kingdom,,,Asia
113,2010.0,113.0,Steven Cohen,United States,54.0,6.4,United States,,,North America
114,2010.0,113.0,Viktor Vekselberg,Russia,52.0,6.4,Russia,,,Asia
115,2010.0,113.0,Igor Zyuzin,Russia,49.0,6.4,Russia,,,Asia
116,2010.0,117.0,Curt Engelhorn,Germany,83.0,6.3,Switzerland,,,Europe
117,2010.0,117.0,Akira Mori & family,Japan,73.0,6.3,Japan,,,Asia
118,2010.0,117.0,Rupert Murdoch,United States,79.0,6.3,United States,,,North America
119,2010.0,117.0,Eric Schmidt,United States,54.0,6.3,United States,,,North America
120,2010.0,121.0,Alexander Abramov,Russia,51.0,6.1,Russia,,,Asia
121,2010.0,121.0,Hansjorg Wyss,Switzerland,75.0,6.1,United States,,,Europe
122,2010.0,123.0,Philip Anschutz,United States,70.0,6.0,United States,,,North America
123,2010.0,123.0,Antonia Johnson,Sweden,66.0,6.0,Sweden,,,Europe
124,2010.0,123.0,Julio Mario Santo Domingo,Colombia,86.0,6.0,Colombia,,,South America
125,2010.0,123.0,Jack Taylor & family,United States,87.0,6.0,United States,,,North America
126,2010.0,127.0,Nassef Sawiris,Egypt,48.0,5.9,Egypt,,,Africa
127,2010.0,127.0,Masayoshi Son,Japan,52.0,5.9,Japan,,,Asia
128,2010.0,129.0,Saleh Al Rajhi,Saudi Arabia,98.0,5.8,Saudi Arabia,,,Asia
129,2010.0,129.0,Joseph Lau,Hong Kong,58.0,5.8,Hong Kong,,,Asia
130,2010.0,129.0,Pallonji Mistry,Ireland,80.0,5.8,India,,,Europe
131,2010.0,132.0,Eli Broad,United States,76.0,5.7,United States,,,North America
132,2010.0,132.0,Stefan Quandt,Germany,43.0,5.7,Germany,,,Europe
133,2010.0,132.0,Reinhold Wurth,Germany,74.0,5.7,Germany,,,Europe
134,2010.0,135.0,Luis Carlos Sarmiento,Colombia,77.0,5.6,Colombia,,,South America
135,2010.0,136.0,Leonid Fedun,Russia,53.0,5.5,Russia,,,Asia
136,2010.0,136.0,Terry Gou,Taiwan,59.0,5.5,Taiwan,,,Asia
137,2010.0,136.0,Harold Hamm,United States,64.0,5.5,United States,,,North America
138,2010.0,136.0,Steven Jobs,United States,55.0,5.5,United States,,,North America
139,2010.0,136.0,Suleiman Kerimov,Russia,44.0,5.5,Russia,,,Asia
140,2010.0,136.0,John Menard Jr,United States,70.0,5.5,United States,,,North America
141,2010.0,136.0,Dorothea Steinbruch & family,Brazil,,5.5,Brazil,,,South America
142,2010.0,143.0,Kunio Busujima & family,Japan,84.0,5.4,Japan,,,Asia
143,2010.0,144.0,Giorgio Armani,Italy,75.0,5.3,Italy,,,Europe
144,2010.0,144.0,Graeme Hart,New Zealand,54.0,5.3,New Zealand,,,Oceania
145,2010.0,144.0,Spiro Latsis & family,Greece,63.0,5.3,Switzerland,,,Europe
146,2010.0,144.0,Ira Rennert,United States,75.0,5.3,United States,,,North America
147,2010.0,148.0,Rinat Akhmetov,Ukraine,43.0,5.2,Ukraine,,,Europe
148,2010.0,148.0,Charles Ergen,United States,57.0,5.2,United States,,,North America
149,2010.0,148.0,Adi Godrej & family,India,67.0,5.2,India,,,Asia
150,2010.0,148.0,Pierre Omidyar,United States,42.0,5.2,United States,,,North America
151,2010.0,152.0,Michael Kadoorie & family,Hong Kong,69.0,5.1,Hong Kong,,,Asia
152,2010.0,152.0,Marcel Herrmann Telles,Brazil,60.0,5.1,Brazil,,,South America
153,2010.0,154.0,David Geffen,United States,67.0,5.0,United States,,,North America
154,2010.0,154.0,Jim Kennedy,United States,62.0,5.0,United States,,,North America
155,2010.0,154.0,Karl-Heinz Kipp,Germany,86.0,5.0,Switzerland,,,Europe
156,2010.0,154.0,Liu Yongxing,China,62.0,5.0,China,,,Asia
157,2010.0,154.0,Frederik G.H. Meijer & family,United States,90.0,5.0,United States,,,North America
158,2010.0,154.0,Nicky Oppenheimer & family,South Africa,64.0,5.0,South Africa,,,Africa
159,2010.0,154.0,Blair Parry-Okeden,United States,59.0,5.0,Australia,,,North America
160,2010.0,154.0,Horst Paulmann & family,Chile,75.0,5.0,Chile,,,South America
161,2010.0,154.0,Hasso Plattner,Germany,66.0,5.0,Germany,,,Europe
162,2010.0,154.0,Sergei Popov,Russia,38.0,5.0,Russia,,,Asia
163,2010.0,154.0,Johanna Quandt,Germany,83.0,5.0,Germany,,,Europe
164,2010.0,154.0,Patrick Soon-Shiong,United States,58.0,5.0,United States,,,North America
165,2010.0,166.0,Tsai Wan-Tsai & family,Taiwan,80.0,4.9,Taiwan,,,Asia
166,2010.0,167.0,Gautam Adani,India,47.0,4.8,India,,,Asia
167,2010.0,167.0,Isak Andic & family,Spain,55.0,4.8,Spain,,,Europe
168,2010.0,167.0,Boris Ivanishvili,Russia,54.0,4.8,Georgia,,,Asia
169,2010.0,167.0,Hiroshi Mikitani,Japan,45.0,4.8,Japan,,,Asia
170,2010.0,171.0,Charles Schwab,United States,72.0,4.7,United States,,,North America
171,2010.0,171.0,Stephen Schwarzman,United States,63.0,4.7,United States,,,North America
172,2010.0,173.0,Jean-Claude Decaux & family,France,72.0,4.6,France,,,Europe
173,2010.0,173.0,Ralph Lauren,United States,70.0,4.6,United States,,,North America
174,2010.0,173.0,Dilip Shanghvi,India,54.0,4.6,India,,,Asia
175,2010.0,176.0,Robert Bass,United States,62.0,4.5,United States,,,North America
176,2010.0,176.0,Andrew Beal,United States,57.0,4.5,United States,,,North America
177,2010.0,176.0,William Cook,United States,78.0,4.5,United States,,,North America
178,2010.0,176.0,Richard DeVos,United States,84.0,4.5,United States,,,North America
179,2010.0,176.0,Erivan Haub & family,Germany,77.0,4.5,Germany,,,Europe
180,2010.0,176.0,Pauline MacMillan Keinath,United States,76.0,4.5,United States,,,North America
181,2010.0,176.0,Cargill MacMillan Jr,United States,83.0,4.5,United States,,,North America
182,2010.0,176.0,Whitney MacMillan,United States,81.0,4.5,United States,,,North America
183,2010.0,176.0,Samuel Newhouse Jr,United States,82.0,4.5,United States,,,North America
184,2010.0,176.0,Marion MacMillan Pictet,United States,77.0,4.5,Bermuda,,,North America
185,2010.0,176.0,Carlos Alberto Sicupira,Brazil,62.0,4.5,Brazil,,,South America
186,2010.0,176.0,Harold Simmons,United States,78.0,4.5,United States,,,North America
187,2010.0,176.0,Zhang Jindong,China,47.0,4.5,China,,,Asia
188,2010.0,189.0,Micky Arison,United States,60.0,4.4,United States,,,North America
189,2010.0,189.0,Lee Shin Cheng,Malaysia,70.0,4.4,Malaysia,,,Asia
190,2010.0,189.0,Andrey Melnichenko,Russia,38.0,4.4,Russia,,,Asia
191,2010.0,189.0,Leonid Mikhelson,Russia,54.0,4.4,Russia,,,Asia
192,2010.0,189.0,Elizabeth Mohn & family,Germany,69.0,4.4,Germany,,,Europe
193,2010.0,189.0,Robert Rowling,United States,56.0,4.4,United States,,,North America
194,2010.0,189.0,Wang Chuanfu,China,44.0,4.4,China,,,Asia
195,2010.0,189.0,Karl Wlaschek,Austria,92.0,4.4,Austria,,,Europe
196,2010.0,197.0,Heinz-Horst Deichmann,Germany,83.0,4.3,Germany,,,Europe
197,2010.0,197.0,Thomas Schmidheiny,Switzerland,64.0,4.3,Switzerland,,,Europe
198,2010.0,197.0,Tsai Eng-Meng,Taiwan,53.0,4.3,China,,,Asia
199,2010.0,197.0,Peter Woo & family,Hong Kong,64.0,4.3,Hong Kong,,,Asia
200,2010.0,201.0,Gustavo Cisneros & family,Venezuela,64.0,4.2,Venezuela,,,South America
201,2010.0,201.0,Aloysio de Andrade Faria,Brazil,89.0,4.2,Brazil,,,South America
202,2010.0,201.0,Henry Kravis,United States,66.0,4.2,United States,,,North America
203,2010.0,201.0,Shiv Nadar,India,64.0,4.2,India,,,Asia
204,2010.0,201.0,Henry Sy & family,Philippines,85.0,4.2,Philippines,,,Asia
205,2010.0,201.0,Dennis Washington,United States,75.0,4.2,United States,,,North America
206,2010.0,201.0,Hiroshi Yamauchi,Japan,82.0,4.2,Japan,,,Asia
207,2010.0,208.0,Lester Crown & family,United States,84.0,4.1,United States,,,North America
208,2010.0,208.0,Andrew Forrest,Australia,48.0,4.1,Australia,,,Oceania
209,2010.0,208.0,Dietrich Mateschitz,Austria,65.0,4.1,Austria,,,Europe
210,2010.0,208.0,Chaleo Yoovidhya,Thailand,78.0,4.1,Thailand,,,Asia
211,2010.0,212.0,Americo Amorim,Portugal,75.0,4.0,Portugal,,,Europe
212,2010.0,212.0,Jeronimo Arango & family,Mexico,84.0,4.0,Mexico,,,North America
213,2010.0,212.0,John Arnold,United States,36.0,4.0,United States,,,North America
214,2010.0,212.0,Richard Branson,United Kingdom,59.0,4.0,United Kingdom,,,Europe
215,2010.0,212.0,Charles Butt & family,United States,72.0,4.0,United States,,,North America
216,2010.0,212.0,Ray Dalio,United States,60.0,4.0,United States,,,North America
217,2010.0,212.0,John Paul DeJoria,United States,66.0,4.0,United States,,,North America
218,2010.0,212.0,Bernard Ecclestone & family,United Kingdom,79.0,4.0,United Kingdom,,,Europe
219,2010.0,212.0,Hui Ka Yan,China,51.0,4.0,China,,,Asia
220,2010.0,212.0,"James, Arthur & John Irving",Canada,,4.0,Canada,,,North America
221,2010.0,212.0,Charles Johnson,United States,77.0,4.0,United States,,,North America
222,2010.0,212.0,Leonard Lauder,United States,77.0,4.0,United States,,,North America
223,2010.0,212.0,Richard LeFrak & family,United States,64.0,4.0,United States,,,North America
224,2010.0,212.0,Alain Merieux & family,France,72.0,4.0,France,,,Europe
225,2010.0,212.0,Donald Newhouse,United States,80.0,4.0,United States,,,North America
226,2010.0,212.0,Jim Pattison,Canada,81.0,4.0,Canada,,,North America
227,2010.0,212.0,Daniel Ziff,United States,38.0,4.0,United States,,,North America
228,2010.0,212.0,Dirk Ziff,United States,45.0,4.0,United States,,,North America
229,2010.0,212.0,Robert Ziff,United States,43.0,4.0,United States,,,North America
230,2010.0,212.0,Mark Zuckerberg,United States,25.0,4.0,United States,,,North America
231,2010.0,232.0,Paul Desmarais,Canada,83.0,3.9,Canada,,,North America
232,2010.0,232.0,Nicolas Hayek,Switzerland,81.0,3.9,Switzerland,,,Europe
233,2010.0,232.0,Robert Holding,United States,83.0,3.9,United States,,,North America
234,2010.0,232.0,Bradley Hughes,United States,76.0,3.9,United States,,,North America
235,2010.0,232.0,Wu Yajun & family,China,46.0,3.9,China,,,Asia
236,2010.0,237.0,Michael Herz,Germany,64.0,3.8,Germany,,,Europe
237,2010.0,237.0,Wolfgang Herz,Germany,59.0,3.8,Germany,,,Europe
238,2010.0,237.0,Rupert Johnson Jr,United States,68.0,3.8,United States,,,North America
239,2010.0,237.0,Paul Milstein & family,United States,87.0,3.8,United States,,,North America
240,2010.0,237.0,Gordon Moore,United States,81.0,3.8,United States,,,North America
241,2010.0,237.0,George Roberts,United States,66.0,3.8,United States,,,North America
242,2010.0,237.0,Bernard (Barry) Sherman,Canada,68.0,3.8,Canada,,,North America
243,2010.0,237.0,Andreas Strungmann,Germany,60.0,3.8,Germany,,,Europe
244,2010.0,237.0,Thomas Strungmann,Germany,60.0,3.8,Germany,,,Europe
245,2010.0,237.0,Samuel Zell,United States,68.0,3.8,United States,,,North America
246,2010.0,247.0,Vladimir Kim,Kazakhstan,49.0,3.7,Kazakhstan,,,Asia
247,2010.0,247.0,Hermann Schnabel,Germany,89.0,3.7,Germany,,,Europe
248,2010.0,249.0,Pyotr Aven,Russia,55.0,3.6,Russia,,,Asia
249,2010.0,249.0,Otto Beisheim,Germany,86.0,3.6,Switzerland,,,Europe
250,2010.0,249.0,Chung Mong-Koo,South Korea,72.0,3.6,South Korea,,,Asia
251,2010.0,249.0,Richard Kinder,United States,65.0,3.6,United States,,,North America
252,2010.0,249.0,Liang Wengen,China,53.0,3.6,China,,,Asia
253,2010.0,249.0,Frank Lowy & family,Australia,79.0,3.6,Australia,,,Oceania
254,2010.0,249.0,Ma Huateng,China,38.0,3.6,China,,,Asia
255,2010.0,249.0,Arnon Milchan,Israel,65.0,3.6,Israel,,,Asia
256,2010.0,249.0,Leonard Stern,United States,72.0,3.6,United States,,,North America
257,2010.0,258.0,Abdul Aziz Al Ghurair & family,United Arab Emirates,55.0,3.5,United Arab Emirates,,,Asia
258,2010.0,258.0,Ray Dolby,United States,77.0,3.5,United States,,,North America
259,2010.0,258.0,William Fung,Hong Kong,62.0,3.5,Hong Kong,,,Asia
260,2010.0,258.0,Stein Erik Hagen & family,Norway,53.0,3.5,Norway,,,Europe
261,2010.0,258.0,Michael Hartono,Indonesia,70.0,3.5,Indonesia,,,Asia
262,2010.0,258.0,R. Budi Hartono,Indonesia,69.0,3.5,Indonesia,,,Asia
263,2010.0,258.0,Bruce Kovner,United States,65.0,3.5,United States,,,North America
264,2010.0,258.0,Kjeld Kirk Kristiansen,Denmark,62.0,3.5,Denmark,,,Europe
265,2010.0,258.0,Kuok Khoon Hong,Singapore,60.0,3.5,Singapore,,,Asia
266,2010.0,258.0,Robin Li,China,41.0,3.5,China,,,Asia
267,2010.0,258.0,Lorenzo Mendoza & family,Venezuela,44.0,3.5,Venezuela,,,South America
268,2010.0,258.0,Rosalia Mera,Spain,66.0,3.5,Spain,,,Europe
269,2010.0,258.0,Denis O'Brien,Ireland,51.0,3.5,Ireland,,,Europe
270,2010.0,258.0,James Packer,Australia,42.0,3.5,Australia,,,Oceania
271,2010.0,258.0,Michael & Rainer Schmidt-Ruthenbeck,Germany,,3.5,Germany,,,Europe
272,2010.0,258.0,David Tepper,United States,52.0,3.5,United States,,,North America
273,2010.0,258.0,Wee Cho Yaw & family,Singapore,81.0,3.5,Singapore,,,Asia
274,2010.0,258.0,Stef Wertheimer & family,Israel,84.0,3.5,Israel,,,Asia
275,2010.0,258.0,Aloys Wobben,Germany,58.0,3.5,Germany,,,Europe
276,2010.0,277.0,Shari Arison,Israel,52.0,3.4,Israel,,,Asia
277,2010.0,277.0,Martin & Olivier Bouygues,France,57.0,3.4,France,,,Europe
278,2010.0,277.0,Bernard Broermann,Germany,66.0,3.4,Germany,,,Europe
279,2010.0,277.0,Chen Fashu,China,49.0,3.4,China,,,Asia
280,2010.0,277.0,Eitaro Itoyama,Japan,67.0,3.4,Japan,,,Asia
281,2010.0,277.0,Quek Leng Chan,Malaysia,69.0,3.4,Malaysia,,,Asia
282,2010.0,277.0,Stephen Ross,United States,69.0,3.4,United States,,,North America
283,2010.0,277.0,John Sall,United States,61.0,3.4,United States,,,North America
284,2010.0,277.0,Teh Hong Piow,Malaysia,80.0,3.4,Malaysia,,,Asia
285,2010.0,277.0,Yang Huiyan,China,28.0,3.4,China,,,Asia
286,2010.0,287.0,Patokh Chodiev,Belgium,57.0,3.3,Kazakhstan,,,Europe
287,2010.0,287.0,Victor Fung & family,United States,64.0,3.3,Hong Kong,,,North America
288,2010.0,287.0,Walter Haefner,Switzerland,99.0,3.3,Switzerland,,,Europe
289,2010.0,287.0,He Xiangjian,China,67.0,3.3,China,,,Asia
290,2010.0,287.0,Hui Wing Mau,Hong Kong,60.0,3.3,Hong Kong,,,Asia
291,2010.0,287.0,Alijan Ibragimov,Kazakhstan,56.0,3.3,Kazakhstan,,,Asia
292,2010.0,287.0,Alexander Machkevich,Israel,56.0,3.3,Kazakhstan,,,Asia
293,2010.0,287.0,Daniel Och,United States,49.0,3.3,United States,,,North America
294,2010.0,287.0,Henry Ross Perot Sr,United States,79.0,3.3,United States,,,North America
295,2010.0,287.0,Haim Saban,United States,65.0,3.3,United States,,,North America
296,2010.0,297.0,Ronald Burkle,United States,57.0,3.2,United States,,,North America
297,2010.0,297.0,Chen Din Hwa,Hong Kong,87.0,3.2,Hong Kong,,,Asia
298,2010.0,297.0,Frits Goldschmeding,Netherlands,76.0,3.2,Netherlands,,,Europe
299,2010.0,297.0,Paul Tudor Jones II,United States,55.0,3.2,United States,,,North America
300,2010.0,297.0,Ann Walton Kroenke,United States,61.0,3.2,United States,,,North America
301,2010.0,297.0,Liu Zhongtian,China,46.0,3.2,China,,,Asia
302,2010.0,297.0,G. M. Rao,India,59.0,3.2,India,,,Asia
303,2010.0,297.0,Anton Schlecker,Germany,65.0,3.2,Germany,,,Europe
304,2010.0,297.0,Malvinder & Shivinder Singh,India,37.0,3.2,India,,,Asia
305,2010.0,297.0,Nikolai Tsvetkov,Russia,49.0,3.2,Russia,,,Asia
306,2010.0,307.0,Richard Chandler,New Zealand,51.0,3.1,New Zealand,,,Oceania
307,2010.0,307.0,Heidi Horten,Austria,69.0,3.1,Austria,,,Europe
308,2010.0,307.0,Kirk Kerkorian,United States,92.0,3.1,United States,,,North America
309,2010.0,307.0,Lu Xiangyang,China,48.0,3.1,China,,,Asia
310,2010.0,307.0,Patrick McGovern,United States,72.0,3.1,United States,,,North America
311,2010.0,307.0,Victor Pinchuk,Ukraine,49.0,3.1,Ukraine,,,Europe
312,2010.0,307.0,Onsi Sawiris,Egypt,80.0,3.1,Egypt,,,Africa
313,2010.0,307.0,Takemitsu Takizaki,Japan,64.0,3.1,Japan,,,Asia
314,2010.0,307.0,Zhou Chengjian,China,44.0,3.1,China,,,Asia
315,2010.0,316.0,Riley Bechtel,United States,58.0,3.0,United States,,,North America
316,2010.0,316.0,Stephen Bechtel Jr,United States,84.0,3.0,United States,,,North America
317,2010.0,316.0,Abilio dos Santos Diniz,Brazil,73.0,3.0,Brazil,,,South America
318,2010.0,316.0,Antonio Ermirio de Moraes & family,Brazil,81.0,3.0,Brazil,,,South America
319,2010.0,316.0,Thomas Frist Jr & family,United States,71.0,3.0,United States,,,North America
320,2010.0,316.0,David Green,United States,68.0,3.0,United States,,,North America
321,2010.0,316.0,Bahaa Hariri,Switzerland,43.0,3.0,Switzerland,,,Europe
322,2010.0,316.0,Ray Lee Hunt,United States,67.0,3.0,United States,,,North America
323,2010.0,316.0,James Jannard,United States,60.0,3.0,United States,,,North America
324,2010.0,316.0,Barbara Piasecka Johnson,United States,73.0,3.0,Monaco,,,North America
325,2010.0,316.0,Peter Kellogg,United States,67.0,3.0,United States,,,North America
326,2010.0,316.0,William Koch,United States,69.0,3.0,United States,,,North America
